0:0:0:0:0:0:0:1 - - [10/May/2019:12:04:30 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:04:30 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:05:14 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [10/May/2019:12:05:14 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:05:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:05:15 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [10/May/2019:12:05:15 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:05:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:05:15 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 517
0:0:0:0:0:0:0:1 - - [10/May/2019:12:05:15 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:21 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:21 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:21 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:21 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:21 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:22 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:22 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:22 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:22 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:22 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:22 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:44 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:44 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:44 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:44 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:44 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:44 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:44 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:44 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:44 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:44 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:06:44 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:07:33 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [10/May/2019:12:07:33 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:07:33 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:07:33 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [10/May/2019:12:07:33 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:07:33 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:07:34 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [10/May/2019:12:07:34 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 224
0:0:0:0:0:0:0:1 - - [10/May/2019:12:07:34 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:07:52 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2019:12:09:13 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [10/May/2019:12:09:13 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [10/May/2019:12:09:13 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:09:13 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [10/May/2019:12:09:13 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [10/May/2019:12:09:13 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [10/May/2019:12:09:13 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 560
0:0:0:0:0:0:0:1 - - [10/May/2019:12:09:13 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 223
0:0:0:0:0:0:0:1 - - [10/May/2019:12:10:06 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2019:12:11:00 +0530] "GET /GT_GenialToil/EmployeeSignup.html HTTP/1.1" 200 573
0:0:0:0:0:0:0:1 - - [10/May/2019:12:11:00 +0530] "GET /GT_GenialToil/EmployeeSignup.css HTTP/1.1" 200 223
